tx_id,customer_id,amount,timestamp,merchant_category,segment,age,income,is_fraud,amount_risk_bucket,is_night_tx
TX001214,C0306,915.11,2024-05-07 12:31:38,Electronics,Standard,39,"48,558.00",0,High,0
TX000547,C0381,914.98,2024-12-15 17:35:38,Travel,Premium,27,"159,579.00",0,High,0
TX007968,C0107,912.33,2024-04-22 09:53:41,Travel,Premium,60,"91,788.00",1,High,0
TX007257,C0070,911.9,2024-09-15 01:02:23,Travel,Basic,30,"41,520.00",0,High,1
TX001235,C0369,909.96,2024-08-16 22:25:28,Travel,Student,39,"15,677.00",0,High,0
TX007360,C0021,908.32,2024-08-14 00:27:34,Travel,Student,55,"17,431.00",0,High,1
TX003851,C0471,906.46,2024-02-19 00:31:08,Travel,Standard,34,"54,590.00",0,High,1
TX003038,C0002,905.86,2024-05-11 16:51:40,Electronics,Basic,36,"31,173.00",0,High,0
TX000790,C0281,903.18,2024-05-20 00:12:48,Travel,Premium,39,"39,211.00",0,High,1
TX001906,C0397,902.98,2024-09-13 20:59:28,Travel,Student,18,"14,975.00",0,High,0
TX001755,C0119,901.71,2024-03-04 05:04:40,Travel,Standard,51,"81,039.00",0,High,0
TX000305,C0476,900.16,2024-02-24 01:18:05,Electronics,Standard,35,"80,675.00",0,High,1
TX007392,C0458,895.08,2024-01-03 22:47:48,ATM Withdrawal,Basic,25,"36,073.00",1,High,0
TX002741,C0087,894.94,2024-06-18 07:59:52,Travel,Standard,48,"40,495.00",1,High,0
TX006106,C0485,894.01,2024-05-13 18:12:57,Travel,Basic,28,"35,423.00",0,High,0
TX004416,C0199,892.87,2024-03-11 03:36:16,Travel,Premium,38,"111,979.00",0,High,1
TX004336,C0335,892.76,2024-03-05 14:50:27,Travel,Standard,49,"46,637.00",1,High,0
TX003283,C0230,889.62,2024-04-22 02:04:01,Electronics,Standard,46,"37,804.00",0,High,1
TX002227,C0273,888.84,2024-03-09 09:33:07,Travel,Premium,51,"107,842.00",0,High,0
TX004418,C0106,886.64,2024-10-25 07:06:58,Travel,Basic,42,"37,397.00",0,High,0
TX002566,C0168,884.55,2024-02-18 10:27:00,Travel,Student,60,"8,041.00",0,High,0
TX004166,C0256,883.81,2024-09-06 08:01:12,Travel,Standard,32,"22,699.00",0,High,0
TX004432,C0195,881.62,2024-09-05 17:26:05,Electronics,Standard,40,"53,925.00",0,High,0
TX006480,C0350,880.94,2024-05-31 06:59:19,Travel,Basic,35,"20,208.00",0,High,0
TX002578,C0069,879.2,2024-02-07 09:15:43,Travel,Premium,42,"87,307.00",0,High,0
TX001234,C0201,876.87,2024-11-11 10:48:09,Travel,Basic,42,"30,629.00",0,High,0
TX007401,C0010,876.6,2024-03-14 03:15:28,Travel,Standard,44,"55,696.00",0,High,1
TX003508,C0039,875.9,2024-10-19 11:02:55,Travel,Standard,22,"61,600.00",0,High,0
TX004126,C0447,874.82,2024-01-27 10:06:03,Travel,Student,42,"16,747.00",0,High,0
TX003977,C0058,874.78,2024-08-07 07:20:49,Travel,Student,34,"20,775.00",0,High,0
TX007366,C0091,874.08,2024-03-11 06:08:10,Electronics,Student,39,"21,013.00",0,High,0
TX007679,C0402,869.06,2024-06-16 02:34:28,ATM Withdrawal,Basic,30,"27,677.00",0,High,1
TX003057,C0129,868.54,2024-05-14 19:57:30,Travel,Basic,39,"43,820.00",0,High,0
TX004182,C0094,866.39,2024-10-05 22:46:45,Travel,Student,34,"15,107.00",0,High,0
TX003160,C0462,861.9,2024-09-27 10:40:35,Travel,Premium,38,"101,754.00",0,High,0
TX002721,C0177,860.75,2024-04-09 00:13:10,Electronics,Standard,38,"56,152.00",1,High,1
TX006104,C0271,857.12,2024-07-03 00:45:02,Travel,Basic,55,"41,074.00",1,High,1
TX001711,C0235,846.16,2024-07-13 07:17:48,Travel,Basic,63,"32,570.00",1,High,0
TX006305,C0122,833.12,2024-01-07 18:57:54,Travel,Basic,27,"26,128.00",0,High,0
TX005879,C0054,832.68,2024-04-26 21:06:32,Electronics,Basic,45,"31,946.00",0,High,0
TX006287,C0422,831.18,2024-02-04 13:51:59,Travel,Student,59,"13,779.00",0,High,0
TX004094,C0390,830.62,2024-04-14 09:25:01,Travel,Premium,31,"50,063.00",1,High,0
TX007915,C0329,827.3,2024-12-09 04:53:47,Travel,Basic,45,"28,517.00",0,High,1
TX003974,C0006,825.09,2024-11-12 13:34:08,Electronics,Standard,35,"49,099.00",0,High,0
TX000567,C0167,820.49,2024-02-08 12:31:13,Travel,Standard,47,"72,231.00",0,High,0
TX006754,C0076,818.25,2024-02-10 20:21:12,Electronics,Standard,47,"44,784.00",0,High,0
TX001794,C0111,817.79,2024-12-06 13:17:22,Travel,Standard,18,"68,427.00",1,High,0
TX000668,C0486,813.36,2024-03-23 09:01:09,Travel,Basic,20,"26,096.00",0,High,0
TX001119,C0438,805.13,2024-07-28 13:06:57,Travel,Standard,21,"77,360.00",0,High,0
TX000015,C0399,804.77,2024-08-25 04:59:15,Electronics,Basic,36,"30,654.00",0,High,1
TX004616,C0219,803.75,2024-10-23 01:00:37,Travel,Basic,32,"31,203.00",0,High,1
TX005207,C0439,801.66,2024-01-29 10:21:17,Travel,Standard,18,"57,230.00",0,High,0
TX006589,C0159,801.19,2024-03-24 21:34:42,Electronics,Basic,23,"25,597.00",1,High,0
TX007197,C0039,797.18,2024-07-22 02:45:24,Electronics,Standard,22,"61,600.00",0,Low,1
TX006692,C0251,796.67,2024-04-16 02:33:30,Travel,Standard,22,"38,555.00",0,Low,1
TX002325,C0240,796.57,2024-12-25 00:24:28,Travel,Student,48,"18,856.00",0,Low,1
TX003556,C0287,791.88,2024-10-12 05:14:33,Travel,Standard,36,"68,774.00",0,Low,0
TX007835,C0300,789.57,2024-09-26 19:52:45,Electronics,Premium,45,"103,214.00",0,Low,0
TX003769,C0375,786.96,2024-07-14 05:08:56,Travel,Standard,63,"71,369.00",1,Low,0
TX003533,C0072,785.6,2024-06-21 16:39:03,Travel,Standard,56,"82,014.00",0,Low,0
TX002532,C0262,785.19,2024-07-29 22:41:55,Travel,Premium,37,"157,573.00",0,Low,0
TX000421,C0250,780.17,2024-05-31 06:30:11,Travel,Standard,42,"55,233.00",0,Low,0
TX003146,C0291,779.68,2024-06-28 10:35:03,Electronics,Student,35,"11,070.00",0,Low,0
TX002733,C0109,778.78,2024-11-04 08:51:19,Travel,Basic,41,"35,585.00",0,Low,0
TX006211,C0234,778.55,2024-09-14 17:04:43,Travel,Student,30,"16,315.00",0,Low,0
TX004739,C0359,775.53,2024-08-25 00:50:29,Electronics,Standard,41,"73,415.00",0,Low,1
TX001361,C0179,772.88,2024-02-07 10:41:09,Travel,Student,34,"18,985.00",0,Low,0
TX004237,C0411,771.82,2024-02-24 14:02:27,ATM Withdrawal,Standard,46,"55,422.00",0,Low,0
TX002606,C0458,769.34,2024-01-31 18:01:07,Travel,Basic,25,"36,073.00",0,Low,0
TX001863,C0175,769.02,2024-02-01 15:49:22,Travel,Premium,41,"88,592.00",0,Low,0
TX003701,C0149,768.69,2024-07-15 00:26:05,Travel,Student,44,"14,309.00",0,Low,1
TX001706,C0438,767.93,2024-12-27 13:47:37,Travel,Standard,21,"77,360.00",0,Low,0
TX005491,C0210,767.77,2024-11-26 04:26:58,Travel,Standard,75,"39,401.00",0,Low,1
TX003277,C0094,765.54,2024-03-07 19:40:43,Travel,Student,34,"15,107.00",1,Low,0
TX001545,C0408,764.94,2024-07-16 21:25:16,Travel,Basic,36,"23,954.00",0,Low,0
TX003771,C0237,763.87,2024-08-13 16:44:25,Travel,Basic,18,"42,909.00",0,Low,0
TX002148,C0365,763.84,2024-11-09 05:59:59,Travel,Student,46,"17,233.00",0,Low,0
TX007804,C0389,763.77,2024-09-10 04:59:37,Travel,Standard,49,"43,210.00",0,Low,1
TX001605,C0307,763.2,2024-08-08 21:01:00,Electronics,Standard,53,"56,834.00",0,Low,0
TX001995,C0156,762.37,2024-09-24 00:05:35,Travel,Student,29,"16,583.00",1,Low,1
TX005459,C0315,761.92,2024-02-29 02:49:20,Travel,Basic,53,"20,049.00",0,Low,1
TX003862,C0451,761.46,2024-02-21 02:24:52,Travel,Basic,37,"9,568.00",0,Low,1
TX006651,C0488,759.3,2024-05-19 04:59:04,Electronics,Student,25,"12,577.00",0,Low,1
TX006219,C0304,756.4,2024-09-07 03:52:39,Travel,Basic,45,"40,913.00",0,Low,1
TX006391,C0242,756.12,2024-08-03 03:51:11,Travel,Premium,36,"53,171.00",0,Low,1
TX002102,C0362,755.23,2024-08-22 06:15:03,Travel,Premium,56,"102,570.00",0,Low,0
TX000972,C0043,755,2024-01-24 01:46:52,Travel,Standard,36,"58,657.00",0,Low,1
TX002262,C0418,754.08,2024-05-01 06:13:22,Electronics,Standard,39,"63,367.00",0,Low,0
TX002100,C0132,753.84,2024-11-30 16:02:19,Travel,Student,38,"15,480.00",1,Low,0
TX007821,C0185,753.21,2024-11-23 07:47:15,Electronics,Standard,35,"49,770.00",0,Low,0
TX003687,C0102,752.38,2024-01-19 13:29:37,Travel,Basic,32,"35,126.00",0,Low,0
TX000898,C0174,752.25,2024-03-27 13:55:19,Travel,Standard,42,"60,197.00",0,Low,0
TX003854,C0018,752.25,2024-06-17 22:33:06,Travel,Student,41,"21,309.00",0,Low,0
TX005144,C0114,752.17,2024-03-06 07:53:27,Electronics,Basic,67,"25,718.00",0,Low,0
TX003046,C0224,751.68,2024-04-16 12:16:06,Travel,Basic,18,"38,405.00",0,Low,0
TX005307,C0429,748.62,2024-06-24 18:13:41,Electronics,Basic,50,"30,515.00",0,Low,0
TX003794,C0271,747.45,2024-11-29 16:07:10,Travel,Basic,55,"41,074.00",0,Low,0
TX005039,C0045,746.68,2024-10-17 23:56:54,Electronics,Standard,20,"35,795.00",0,Low,0
TX000882,C0393,746.66,2024-04-03 04:39:43,Travel,Student,22,"10,586.00",0,Low,1
TX006456,C0072,744.04,2024-08-22 04:21:01,Electronics,Standard,56,"82,014.00",0,Low,1
TX004513,C0110,743.09,2024-08-11 18:13:25,Travel,Student,37,"16,573.00",1,Low,0
TX002616,C0209,743.05,2024-07-04 23:25:03,Travel,Standard,44,"71,622.00",0,Low,0
TX006381,C0044,740.95,2024-08-01 06:41:51,Travel,Premium,34,"73,077.00",0,Low,0
TX000530,C0020,740.32,2024-02-25 14:52:09,Travel,Standard,21,"59,185.00",0,Low,0
TX005443,C0359,739.96,2024-08-27 14:01:01,Travel,Standard,41,"73,415.00",1,Low,0
TX002337,C0095,739,2024-06-11 17:01:12,Electronics,Basic,33,"31,667.00",0,Low,0
TX005677,C0128,738.92,2024-06-15 01:43:12,Travel,Student,31,"23,569.00",0,Low,1
TX000420,C0338,737.28,2024-01-27 13:58:31,Travel,Premium,34,"167,391.00",0,Low,0
TX006078,C0401,736.68,2024-12-01 20:03:32,Travel,Standard,18,"68,786.00",0,Low,0
TX007248,C0039,735.56,2024-02-02 20:06:24,Travel,Standard,22,"61,600.00",0,Low,0
TX002462,C0475,735.07,2024-12-30 17:58:44,Travel,Premium,57,"84,811.00",0,Low,0
TX001098,C0425,734.62,2024-07-22 01:48:27,Electronics,Standard,45,"55,849.00",0,Low,1
TX004828,C0441,732.15,2024-06-22 23:02:07,Electronics,Basic,42,"25,092.00",0,Low,0
TX000986,C0382,731.61,2024-09-28 05:54:26,Travel,Standard,30,"60,899.00",0,Low,0
TX000560,C0456,731.49,2024-05-06 17:30:17,Travel,Standard,28,"27,970.00",0,Low,0
TX007238,C0447,731.28,2024-09-11 09:59:02,Electronics,Student,42,"16,747.00",0,Low,0
TX002714,C0032,730.43,2024-07-20 19:05:43,Electronics,Standard,60,"60,658.00",0,Low,0
TX006585,C0255,730.25,2024-08-27 22:59:40,Travel,Basic,19,"22,068.00",0,Low,0
TX000081,C0402,728.15,2024-07-23 21:35:05,Travel,Basic,30,"27,677.00",0,Low,0
TX007539,C0182,726.01,2024-08-22 22:24:45,Travel,Basic,27,"26,575.00",0,Low,0
TX002679,C0413,724.72,2024-07-09 21:31:37,Travel,Standard,19,"71,288.00",0,Low,0
TX007642,C0288,723.88,2024-01-26 02:21:49,Electronics,Premium,45,"42,884.00",0,Low,1
TX003413,C0375,723.15,2024-02-02 21:07:27,Electronics,Standard,63,"71,369.00",1,Low,0
TX006019,C0498,721.57,2024-02-04 23:30:02,Electronics,Basic,35,"31,092.00",0,Low,0
TX002990,C0071,718.38,2024-02-09 10:22:59,Travel,Standard,42,"44,854.00",0,Low,0
TX005657,C0347,718.34,2024-02-12 08:43:48,Electronics,Basic,20,"25,346.00",0,Low,0
TX003757,C0370,718.15,2024-02-01 22:40:59,Travel,Basic,28,"18,690.00",0,Low,0
TX004543,C0195,717.7,2024-05-31 19:45:00,Travel,Standard,40,"53,925.00",0,Low,0
TX003248,C0104,716.54,2024-08-07 00:17:30,Electronics,Standard,28,"63,588.00",0,Low,1
TX006838,C0063,716.32,2024-12-28 17:24:03,Travel,Student,24,"17,279.00",0,Low,0
TX006595,C0090,716.14,2024-12-04 10:19:39,Electronics,Standard,44,"37,624.00",0,Low,0
TX005376,C0261,715.47,2024-03-27 20:25:10,Travel,Basic,26,"24,494.00",0,Low,0
TX004350,C0278,713.81,2024-04-20 19:17:55,Travel,Standard,30,"54,061.00",0,Low,0
TX000866,C0267,712.45,2024-10-17 14:13:00,Travel,Standard,57,"34,156.00",0,Low,0
TX007646,C0188,711.49,2024-03-16 01:43:50,Travel,Standard,37,"86,151.00",0,Low,1
TX007814,C0067,708.89,2024-05-19 13:34:24,Electronics,Basic,37,"31,572.00",0,Low,0
TX007169,C0420,708.46,2024-12-25 15:18:15,Electronics,Basic,38,"19,505.00",0,Low,0
TX000025,C0350,705.96,2024-12-15 09:11:11,Travel,Basic,35,"20,208.00",0,Low,0
TX006609,C0099,705.59,2024-04-09 13:39:14,Electronics,Basic,38,"21,987.00",0,Low,0
TX005295,C0146,705.05,2024-08-08 16:03:42,Travel,Basic,47,"26,328.00",0,Low,0
TX006816,C0392,704.82,2024-08-07 18:23:49,Travel,Premium,43,"105,239.00",0,Low,0
TX001501,C0462,703.18,2024-09-04 23:38:12,Travel,Premium,38,"101,754.00",0,Low,0
TX003742,C0238,699.7,2024-09-01 16:08:08,Electronics,Standard,40,"61,803.00",0,Low,0
TX005741,C0228,697.44,2024-01-09 21:51:43,Travel,Standard,25,"37,854.00",0,Low,0
TX002799,C0246,697.16,2024-12-18 02:12:00,Travel,Basic,33,"41,005.00",0,Low,1
TX006054,C0130,696.82,2024-10-24 07:40:09,Travel,Standard,31,"61,544.00",0,Low,0
TX006431,C0232,693.51,2024-11-30 07:12:12,Electronics,Standard,40,"43,685.00",0,Low,0
TX007858,C0330,692.62,2024-01-03 04:56:01,Travel,Standard,45,"53,052.00",0,Low,1
TX003079,C0326,692.33,2024-06-22 20:03:27,Travel,Premium,23,"99,294.00",0,Low,0
TX004309,C0453,691.28,2024-11-16 17:19:58,Travel,Basic,26,"19,064.00",1,Low,0
TX002099,C0462,690.83,2024-06-27 05:39:03,Travel,Premium,38,"101,754.00",0,Low,0
TX005126,C0429,690.06,2024-07-06 15:10:17,ATM Withdrawal,Basic,50,"30,515.00",1,Low,0
